tcp        0      0 127.0.0.1:9229          0.0.0.0:*               LISTEN      409586/node         
tcp        0      0 127.0.0.1:59754         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49018         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:57100         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49042         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37774         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33188         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:35792         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33110         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37660         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59738         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:35826         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37686         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:35768         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:56958         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49028         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37762         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:49178         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59814         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33100         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59776         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:48990         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59768         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:35798         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:57084         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59858         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33124         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37690         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:35770         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33138         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:59782         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33118         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33058         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:35842         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37794         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:56972         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:57106         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:33106         127.0.0.1:9229          TIME_WAIT   -                   
tcp        0      0 127.0.0.1:37720         127.0.0.1:9229          TIME_WAIT   -                   
